Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44113,451212,1,1,0,0,0,0,0,0,0,0
2002,44114,451212,5,5,0,0,0,0,0,0,0,0
2002,44113,451220,1,0,0,1,0,0,0,0,0,0
2002,44114,451220,3,1,1,1,0,0,0,0,0,0
2002,44115,451220,1,1,0,0,0,0,0,0,0,0
2002,44113,452990,1,0,1,0,0,0,0,0,0,0
2002,44114,452990,2,1,0,1,0,0,0,0,0,0
2002,44114,453110,2,1,0,1,0,0,0,0,0,0
2002,44115,453110,2,2,0,0,0,0,0,0,0,0
2002,44113,453210,1,1,0,0,0,0,0,0,0,0
2002,44114,453210,2,1,1,0,0,0,0,0,0,0
2002,44113,453220,7,2,3,1,1,0,0,0,0,0
2002,44114,453220,14,12,2,0,0,0,0,0,0,0
2002,44115,453220,5,3,1,0,0,1,0,0,0,0
2002,44113,453310,6,3,0,1,1,1,0,0,0,0
2002,44114,453310,2,2,0,0,0,0,0,0,0,0
2002,44115,453310,2,0,2,0,0,0,0,0,0,0
2002,44115,453910,1,1,0,0,0,0,0,0,0,0
2002,44113,453920,4,3,1,0,0,0,0,0,0,0
2002,44114,453920,1,1,0,0,0,0,0,0,0,0
2002,44115,453991,1,1,0,0,0,0,0,0,0,0
2002,44114,453998,6,2,3,1,0,0,0,0,0,0
2002,44115,453998,1,0,1,0,0,0,0,0,0,0
2002,44114,454110,2,0,2,0,0,0,0,0,0,0
2002,44115,454110,1,1,0,0,0,0,0,0,0,0
2002,44113,454210,1,1,0,0,0,0,0,0,0,0
2002,44114,454210,5,4,1,0,0,0,0,0,0,0
2002,44115,454210,2,1,1,0,0,0,0,0,0,0
2002,44115,454311,1,0,1,0,0,0,0,0,0,0
2002,44114,454312,1,0,0,0,1,0,0,0,0,0
2002,44113,454390,1,1,0,0,0,0,0,0,0,0
2002,44114,454390,5,2,3,0,0,0,0,0,0,0
2002,44114,481211,4,3,0,1,0,0,0,0,0,0
2002,44113,483113,1,0,0,0,1,0,0,0,0,0
2002,44114,483113,1,0,0,0,0,1,0,0,0,0
2002,44114,483114,1,1,0,0,0,0,0,0,0,0
2002,44113,484110,2,1,0,1,0,0,0,0,0,0
2002,44114,484110,2,1,0,1,0,0,0,0,0,0
2002,44115,484110,1,0,0,0,1,0,0,0,0,0
